"","married-slope_2022","married-slope_2023","married-acc_2022","married-acc_2023","married-steady_slope","married-val_2022","unmarried-slope_2022","unmarried-slope_2023","unmarried-acc_2022","unmarried-acc_2023","unmarried-steady_slope","unmarried-val_2022"
"Dawson County, Nebraska",-70.39999999999996,-70.39999999999996,0.0,0.0,1.0,15032.0,"","","","","",3248.0
"Dawson County, Texas",-186.20357142857142,-186.20357142857142,0.0,0.0,1.0,5896.0,37.81428571428571,37.81428571428571,0.0,0.0,1.0,1683.0
"Day County, South Dakota",-84.11312217195155,-93.2272139625129,-9.114091790562505,-9.114091790562505,0.0,3073.0,"","","","","",1076.0
"De Baca County, New Mexico","","","","","",750.0,"","","","","",461.0
"De Soto Parish, Louisiana",12.492824822238617,22.827343244993244,10.334518422753824,10.334518422753824,0.0,14295.0,"","","","","",3593.0
"De Witt County, Illinois",-108.97500000000001,-108.97500000000001,0.0,0.0,1.0,9683.0,126.55124434390018,144.74371363931277,18.19246929541086,18.19246929541086,0.0,3065.0
"DeKalb County, Alabama","","","","","",47639.0,102.75714285714288,102.75714285714288,0.0,0.0,1.0,8790.0
"DeKalb County, Georgia",3096.417857142857,3096.417857142857,0.0,0.0,1.0,362594.0,1428.5464285714286,1428.5464285714286,0.0,0.0,1.0,158264.0
"DeKalb County, Illinois",-547.9642857142857,-547.9642857142857,0.0,0.0,1.0,54064.0,-301.2117000646249,-365.6874595991976,-64.47575953458234,-64.47575953458234,0.0,21941.0
"DeKalb County, Indiana",371.0811570782389,436.7482546865067,65.6670976082744,65.6670976082744,0.0,28549.0,54.42142857142856,54.42142857142856,0.0,0.0,1.0,5897.0
"DeKalb County, Missouri",-72.0142857142857,-72.0142857142857,0.0,0.0,1.0,5876.0,34.29999999999999,34.29999999999999,0.0,0.0,1.0,1906.0
"DeKalb County, Tennessee","","","","","",12680.0,67.81785714285715,67.81785714285715,0.0,0.0,1.0,3357.0
"DeSoto County, Florida",-1362.7318662405014,-1956.6256212592125,-554.0786469824961,-633.7088631728257,0.0,16134.0,-30.74691966176033,-108.43327496945858,-70.32643826388448,-85.04627235217413,0.0,5019.0
"DeSoto County, Mississippi",1179.5821428571428,1179.5821428571428,0.0,0.0,1.0,118288.0,547.7285714285713,547.7285714285713,0.0,0.0,1.0,21794.0
"DeWitt County, Texas",-479.50596185028553,-725.191419377923,-227.66892910371826,-263.7019859186548,0.0,11293.0,69.61447963801038,81.25022624434496,11.63574660633495,11.63574660633495,0.0,2584.0
"Deaf Smith County, Texas","","","","","",12075.0,-64.20000530348625,-77.8956976828631,-13.454804998976783,-13.936579760129007,0.0,1678.0
"Dearborn County, Indiana",253.6298804137041,311.1533128636074,57.523432449903275,57.523432449903275,0.0,34746.0,138.1088396897212,147.68947963800747,9.580639948286635,9.580639948286635,1.0,6836.0
"Decatur County, Georgia","","","","","",14433.0,151.783860437572,221.9445477835834,65.7191338044504,74.60224089444819,0.0,4003.0
"Decatur County, Indiana",86.59131688252091,23.375567726790905,-55.696455544435594,-70.73504277599932,0.0,17381.0,108.77499999999996,108.77499999999996,0.0,0.0,1.0,4377.0
"Decatur County, Iowa",-41.1,-41.1,0.0,0.0,1.0,4919.0,"","","","","",1308.0
"Decatur County, Kansas",24.636279896576525,30.99649321267134,6.3602133160957415,6.3602133160957415,0.0,1785.0,-47.4929932677187,-65.09245100105181,-16.6204481801592,-18.578467285216902,0.0,675.0
"Decatur County, Tennessee",88.40714285714283,88.40714285714283,0.0,0.0,1.0,8106.0,-29.05357142857143,-29.05357142857143,0.0,0.0,1.0,1572.0
"Deer Lodge County, Montana",-147.06950549450994,-162.9733516483575,-15.903846153846795,-15.903846153846795,0.0,4252.0,115.27777957337094,127.90205235940812,12.624272786037457,12.624272786037457,0.0,2258.0
"Defiance County, Ohio",-147.38928571428573,-147.38928571428573,0.0,0.0,1.0,24057.0,94.42499999999997,94.42499999999997,0.0,0.0,1.0,6274.0
"Del Norte County, California",495.27918552039773,571.7090497737809,76.4298642533948,76.4298642533948,0.0,14157.0,-301.9421791546047,-412.43890223652124,-103.35789703890259,-117.635549126353,0.0,4049.0
"Delaware County, Indiana",-571.7107142857143,-571.7107142857143,0.0,0.0,1.0,53706.0,-24.15814007818699,42.467605106532574,57.67652448097215,75.57496590954543,0.0,25929.0
"Delaware County, Iowa","","","","","",12850.0,79.43977052359332,93.243422753716,13.803652230122626,13.803652230122626,0.0,2619.0
"Delaware County, New York",-355.02142857142854,-355.02142857142854,0.0,0.0,1.0,24958.0,78.48928571428573,78.48928571428573,0.0,0.0,1.0,9379.0
"Delaware County, Ohio",2841.6464285714283,2841.6464285714283,0.0,0.0,1.0,161974.0,517.5999999999999,517.5999999999999,0.0,0.0,1.0,22656.0
"Delaware County, Oklahoma",-190.96785714285713,-190.96785714285713,0.0,0.0,1.0,23942.0,118.17142857142855,118.17142857142855,0.0,0.0,1.0,6806.0
"Delaware County, Pennsylvania","","","","","",333007.0,1416.4204104719101,1610.7434550743783,194.3230446024565,194.3230446024565,0.0,85663.0
"Delta County, Colorado",-241.24642857142854,-241.24642857142854,0.0,0.0,1.0,18054.0,89.50357142857142,89.50357142857142,0.0,0.0,1.0,5761.0
"Delta County, Michigan",366.14678409829503,447.57422430513543,81.42744020685211,81.42744020685211,0.0,23744.0,"","","","","",6459.0
"Delta County, Texas",-7.038865942507982,-50.37631119042635,-38.785283354471176,-47.88960713525739,0.0,3669.0,"","","","","",653.0
"Denali Borough, Alaska",-6.749515239149332,21.05104859173298,24.606119382553516,30.995008271993356,0.0,864.0,"","","","","",249.0
"Dent County, Missouri",-123.91785714285713,-123.91785714285713,0.0,0.0,1.0,8662.0,"","","","","",2165.0
"Denton County, Texas",17054.79642857143,17054.79642857143,0.0,0.0,1.0,627376.0,3304.55,3304.55,0.0,0.0,1.0,127211.0
"Denver County, Colorado",5272.896428571429,5272.896428571429,0.0,0.0,1.0,338245.0,4997.939285714286,4997.939285714286,0.0,0.0,1.0,229223.0
"Des Moines County, Iowa",-278.20714285714286,-278.20714285714286,0.0,0.0,1.0,21171.0,88.125,88.125,0.0,0.0,1.0,8369.0
"Deschutes County, Oregon",1878.1214285714284,1878.1214285714284,0.0,0.0,1.0,125073.0,978.05,978.05,0.0,0.0,1.0,39481.0
