"","married-slope_2022","married-slope_2023","married-acc_2022","married-acc_2023","married-steady_slope","married-val_2022","unmarried-slope_2022","unmarried-slope_2023","unmarried-acc_2022","unmarried-acc_2023","unmarried-steady_slope","unmarried-val_2022"
"Forest County, Wisconsin",-42175334289154.74,-42196192515806.15,-20858226651.412045,-20858226651.412045,1.0,5500.0,"","","","","",1474.0
"Forrest County, Mississippi",0.0,0.0,0.0,0.0,0.0,36906.0,"","","","","",15552.0
"Forsyth County, Georgia",0.0,0.0,0.0,0.0,0.0,202195.0,0.0,0.0,0.0,0.0,0.0,20390.0
"Forsyth County, North Carolina",0.0,0.0,0.0,0.0,0.0,207778.0,0.0,0.0,0.0,0.0,0.0,69648.0
"Fort Bend County, Texas",0.0,0.0,0.0,0.0,0.0,622298.0,0.0,0.0,0.0,0.0,0.0,59497.0
"Foster County, North Dakota",0.0,0.0,0.0,0.0,0.0,2401.0,0.0,0.0,0.0,0.0,0.0,642.0
"Fountain County, Indiana",-71047943634284.8,-71083081094044.58,-35137459759.78508,-35137459759.78508,1.0,10661.0,0.0,0.0,0.0,0.0,0.0,2668.0
"Franklin County, Alabama",-188495348212819.34,-188588570442400.38,-93222229581.01884,-93222229581.01884,1.0,19038.0,0.0,0.0,0.0,0.0,0.0,4227.0
"Franklin County, Arkansas",-4246792.723772144,-4246792.723772144,0.0,0.0,1.0,10871.0,0.0,0.0,0.0,0.0,0.0,2892.0
"Franklin County, Florida",0.0,0.0,0.0,0.0,0.0,5642.0,0.0,0.0,0.0,0.0,0.0,2151.0
"Franklin County, Georgia",0.0,0.0,0.0,0.0,0.0,13576.0,-3789627.1772054844,-3789627.1772054844,0.0,0.0,1.0,2979.0
"Franklin County, Idaho",0.0,0.0,0.0,0.0,0.0,11092.0,0.0,0.0,0.0,0.0,0.0,1307.0
"Franklin County, Illinois",-50313094623770.04,-50337977459884.664,-24882836114.624416,-24882836114.624416,1.0,22791.0,0.0,0.0,0.0,0.0,0.0,7147.0
"Franklin County, Indiana",-55582249.89855304,-55582249.89855304,0.0,0.0,1.0,15427.0,0.0,0.0,0.0,0.0,0.0,3264.0
"Franklin County, Iowa",-40907689877067.98,-40927921177699.56,-20231300631.586857,-20231300631.586857,1.0,6807.0,"","","","","",1586.0
